episod,recompensa,pasi,succes,epsilon
322,122.29999999999934,274,0,0.724581445483085
323,41.15000000000032,157,0,0.723856864037602
324,43.75000000000034,165,0,0.7231330071735643
325,38.05000000000024,159,0,0.7224098741663908
326,51.35000000000028,163,0,0.7216874642922244
327,40.25000000000033,175,0,0.7209657768279322
328,35.10000000000019,128,0,0.7202448110511043
329,118.19999999999955,266,0,0.7195245662400531
330,35.10000000000025,158,0,0.7188050416738131
331,34.30000000000027,144,0,0.7180862366321393
332,296.4999999999992,360,1,0.7173681503955072
333,48.55000000000027,159,0,0.7166507822451117
334,36.10000000000032,168,0,0.7159341314628666
335,112.79999999999986,254,0,0.7152181973314037
336,35.15000000000025,157,0,0.7145029791340722
337,49.70000000000039,196,0,0.7137884761549381
338,43.950000000000244,161,0,0.7130746876787832
339,109.59999999999972,318,0,0.7123616129911045
340,42.600000000000236,158,0,0.7116492513781133
341,35.10000000000025,128,0,0.7109376021267352
342,299.34999999999934,333,1,0.7102266645246085
343,40.75000000000017,165,0,0.7095164378600839
344,129.5499999999996,309,0,0.7088069214222238
345,37.950000000000244,161,0,0.7080981145008015
346,45.50000000000027,160,0,0.7073900163863007
347,39.15000000000023,167,0,0.7066826263699144
348,41.30000000000015,124,0,0.7059759437435444
349,39.400000000000276,162,0,0.7052699677998009
350,38.15000000000025,157,0,0.704564697832001
351,44.000000000000256,160,0,0.7038601331341691
352,45.450000000000216,161,0,0.7031562730010349
353,47.05000000000028,159,0,0.7024531167280339
354,121.79999999999929,284,0,0.7017506636113059
355,49.60000000000025,168,0,0.7010489129476946
356,40.800000000000324,164,0,0.7003478640347469
357,35.200000000000216,126,0,0.6996475161707122
358,36.65000000000026,157,0,0.6989478686545415
359,52.55000000000031,199,0,0.698248920785887
360,46.80000000000024,164,0,0.6975506718651011
361,32.650000000000375,177,0,0.6968531211932361
362,49.80000000000027,164,0,0.6961562680720428
363,38.55000000000018,119,0,0.6954601118039707
364,33.70000000000029,156,0,0.6947646516921667
365,34.80000000000025,134,0,0.6940698870404746
366,54.250000000000284,165,0,0.6933758171534341
367,48.50000000000027,160,0,0.6926824413362807
368,38.50000000000023,120,0,0.6919897588949444
369,47.000000000000284,160,0,0.6912977691360495
370,47.25000000000027,155,0,0.6906064713669134
371,31.40000000000032,202,0,0.6899158648955466
372,34.95000000000023,131,0,0.689225949030651
373,32.80000000000025,174,0,0.6885367230816204
374,42.55000000000031,159,0,0.6878481863585387
375,34.950000000000244,131,0,0.6871603381721801
376,40.90000000000025,162,0,0.686473177834008
377,34.500000000000256,140,0,0.685786704656174
378,34.60000000000025,138,0,0.6851009179515178
379,51.55000000000025,159,0,0.6844158170335664
380,47.0000000000003,160,0,0.6837314012165328
381,40.80000000000025,164,0,0.6830476698153162
382,35.35000000000022,123,0,0.6823646221455009
383,32.70000000000026,176,0,0.6816822575233553
384,35.300000000000225,124,0,0.6810005752658319
385,46.700000000000244,136,0,0.680319574690566
386,45.70000000000026,156,0,0.6796392551158754
387,118.24999999999956,265,0,0.6789596158607596
388,131.7999999999994,294,0,0.6782806562448989
389,37.500000000000355,170,0,0.677602375588654
390,35.80000000000018,114,0,0.6769247732130653
391,40.400000000000276,172,0,0.6762478484398523
392,33.70000000000017,156,0,0.6755716005914124
393,33.85000000000021,153,0,0.674896028990821
394,50.300000000000324,184,0,0.6742211329618302
395,54.55000000000024,159,0,0.6735469118288684
396,34.65000000000025,137,0,0.6728733649170395
397,43.85000000000025,163,0,0.6722004915521225
398,33.2000000000003,166,0,0.6715282910605703
399,112.54999999999966,259,0,0.6708567627695098
400,121.74999999999939,315,0,0.6701859060067403
401,52.60000000000029,168,0,0.6695157201007336
402,33.7000000000003,156,0,0.6688462043806328
403,120.99999999999964,270,0,0.6681773581762521
404,35.00000000000021,130,0,0.6675091808180759
405,44.35000000000025,123,0,0.6668416716372578
406,44.00000000000031,160,0,0.6661748299656206
407,45.200000000000244,166,0,0.6655086551356549
408,32.000000000000284,190,0,0.6648431464805192
409,42.850000000000236,123,0,0.6641783033340387
410,122.59999999999947,268,0,0.6635141250307047
411,33.40000000000033,162,0,0.662850610905674
412,116.69999999999966,236,0,0.6621877602947683
413,125.84999999999961,293,0,0.6615255725344735
414,54.65000000000026,157,0,0.660864046961939
415,114.84999999999964,243,0,0.660203182914977
416,39.90000000000016,122,0,0.6595429797320621
417,35.150000000000276,157,0,0.6588834367523301
418,35.95000000000017,111,0,0.6582245533155777
419,38.200000000000244,126,0,0.6575663287622622
420,49.95000000000026,161,0,0.6569087624334999
421,43.85000000000031,163,0,0.6562518536710664
422,41.350000000000236,123,0,0.6555956018173954
423,54.10000000000022,168,0,0.654940006215578
424,35.000000000000185,130,0,0.6542850662093624
425,40.05000000000018,119,0,0.6536307811431531
426,39.70000000000026,156,0,0.65297715036201
427,42.20000000000027,136,0,0.6523241732116479
428,51.500000000000355,160,0,0.6516718490384363
429,31.25000000000047,205,0,0.6510201771893979
430,36.70000000000023,126,0,0.6503691570122084
431,123.2499999999995,285,0,0.6497187878551962
432,40.05000000000015,119,0,0.649069069067341
433,35.050000000000225,129,0,0.6484199999982736
434,51.40000000000029,162,0,0.6477715799982753
435,35.90000000000016,112,0,0.647123808418277
436,35.150000000000205,127,0,0.6464766846098587
437,34.800000000000225,134,0,0.6458302079252489
438,33.350000000000335,163,0,0.6451843777173236
439,32.350000000000364,183,0,0.6445391933396063
440,39.00000000000021,170,0,0.6438946541462667
441,35.750000000000185,115,0,0.6432507594921204
442,36.100000000000165,108,0,0.6426075087326283
443,125.14999999999937,277,0,0.6419649012238956
444,41.35000000000015,123,0,0.6413229363226717
445,42.55000000000017,129,0,0.640681613386349
446,54.55000000000025,159,0,0.6400409317729626
447,35.60000000000019,118,0,0.6394008908411897
448,41.50000000000021,120,0,0.6387614899503485
449,33.05000000000034,169,0,0.6381227284603982
450,42.90000000000019,122,0,0.6374846057319378
451,51.050000000000296,169,0,0.6368471211262058
452,121.04999999999946,239,0,0.6362102740050796
453,111.89999999999979,272,0,0.6355740637310745
454,35.5000000000002,120,0,0.6349384896673435
455,113.64999999999971,237,0,0.6343035511776761
456,42.850000000000236,123,0,0.6336692476264985
457,44.25000000000027,125,0,0.6330355783788719
458,36.45000000000027,161,0,0.632402542800493
459,111.84999999999995,273,0,0.6317701402576925
460,32.85000000000035,173,0,0.6311383701174348
461,34.90000000000023,132,0,0.6305072317473174
462,32.45000000000037,181,0,0.6298767245155701
463,35.70000000000019,116,0,0.6292468477910546
464,47.10000000000028,158,0,0.6286176009432635
465,54.35000000000029,163,0,0.6279889833423202
466,54.30000000000028,164,0,0.6273609943589779
467,54.50000000000021,160,0,0.6267336333646188
468,35.30000000000021,124,0,0.6261068997312542
469,35.050000000000196,129,0,0.6254807928315229
470,124.74999999999962,255,0,0.6248553120386914
471,54.5000000000003,160,0,0.6242304567266527
472,128.2999999999994,274,0,0.623606226269926
473,113.69999999999986,236,0,0.6229826200436561
474,48.50000000000024,160,0,0.6223596374236124
475,36.00000000000017,110,0,0.6217372777861888
476,34.500000000000256,140,0,0.6211155405084027
477,34.10000000000028,148,0,0.6204944249678943
478,54.75000000000031,155,0,0.6198739305429264
479,34.350000000000264,143,0,0.6192540566123834
480,35.30000000000021,124,0,0.6186348025557711
481,35.300000000000225,124,0,0.6180161677532153
482,42.55000000000028,159,0,0.6173981515854621
483,32.55000000000038,179,0,0.6167807534338766
484,35.85000000000018,113,0,0.6161639726804428
485,34.80000000000028,164,0,0.6155478087077623
486,35.7500000000002,115,0,0.6149322608990545
487,36.750000000000185,125,0,0.6143173286381555
488,40.10000000000018,118,0,0.6137030113095173
489,40.75000000000031,165,0,0.6130893082982078
490,132.94999999999953,271,0,0.6124762189899097
491,118.39999999999976,232,0,0.6118637427709198
492,34.45000000000026,141,0,0.6112518790281489
493,39.85000000000018,123,0,0.6106406271491208
494,121.79999999999954,284,0,0.6100299865219717
495,51.45000000000027,161,0,0.6094199565354498
496,51.20000000000036,166,0,0.6088105365789144
497,31.80000000000038,194,0,0.6082017260423355
498,48.45000000000023,161,0,0.6075935243162931
499,35.30000000000021,124,0,0.6069859307919768
500,115.4499999999996,231,0,0.6063789448611848
501,54.75000000000024,125,0,0.6057725659163237
502,133.14999999999912,237,0,0.6051667933504074
503,51.350000000000335,163,0,0.6045616265570569
504,125.09999999999964,248,0,0.6039570649304998
505,122.39999999999928,272,0,0.6033531078655693
506,41.00000000000027,160,0,0.6027497547577038
507,306.84999999999906,303,1,0.602147005002946
508,133.3999999999997,232,0,0.6015448579979431
509,35.95000000000019,111,0,0.6009433131399452
510,118.04999999999951,239,0,0.6003423698268052
511,32.950000000000344,171,0,0.5997420274569785
512,33.450000000000344,161,0,0.5991422854295215
513,42.50000000000023,130,0,0.598543143144092
514,302.14999999999907,307,1,0.5979446000009478
515,35.150000000000176,127,0,0.5973466554009469
516,39.7000000000002,126,0,0.596749308745546
517,35.20000000000017,126,0,0.5961525594368005
518,33.55000000000031,159,0,0.5955564068773637
519,130.44999999999976,261,0,0.5949608504704863
520,125.59999999999961,238,0,0.5943658896200158
521,35.45000000000019,121,0,0.5937715237303958
522,34.35000000000028,143,0,0.5931777522066654
523,113.89999999999988,232,0,0.5925845744544587
524,36.900000000000176,122,0,0.5919919898800042
525,32.0000000000004,190,0,0.5913999978901242
526,54.20000000000033,166,0,0.590808597892234
527,35.15000000000023,127,0,0.5902177892943418
528,34.05000000000028,149,0,0.5896275715050474
529,48.550000000000296,159,0,0.5890379439335424
530,46.10000000000022,118,0,0.5884489059896089
531,47.0000000000003,160,0,0.5878604570836192
532,35.40000000000022,122,0,0.5872725966265356
533,44.45000000000017,121,0,0.5866853240299091
534,34.500000000000256,140,0,0.5860986387058792
535,119.69999999999969,236,0,0.5855125400671733
536,56.05000000000025,129,0,0.5849270275271061
537,34.25000000000027,145,0,0.584342100499579
538,116.79999999999986,234,0,0.5837577583990794
539,114.55000000000005,219,0,0.5831740006406804
540,50.050000000000225,159,0,0.5825908266400397
541,54.5000000000003,160,0,0.5820082358133997
542,35.60000000000019,118,0,0.5814262275775862
543,113.49999999999982,240,0,0.5808448013500086
544,47.00000000000024,130,0,0.5802639565486586
545,38.350000000000165,123,0,0.57968369259211
546,47.05000000000021,129,0,0.5791040088995179
547,123.34999999999947,193,0,0.5785249048906184
548,35.85000000000019,113,0,0.5779463799857277
549,39.70000000000023,126,0,0.577368433605742
550,114.44999999999955,221,0,0.5767910651721362
551,114.94999999999972,241,0,0.576214274106964
552,35.050000000000225,129,0,0.5756380598328571
553,34.80000000000025,134,0,0.5750624217730242
554,124.1999999999996,236,0,0.5744873593512512
555,41.25000000000021,125,0,0.5739128719918999
556,56.05000000000024,129,0,0.573338959119908
557,34.40000000000026,142,0,0.572765620160788
558,35.450000000000216,121,0,0.5721928545406272
559,128.54999999999927,239,0,0.5716206616860866
560,31.500000000000426,200,0,0.5710490410244006
561,33.800000000000296,154,0,0.5704779919833761
562,48.45000000000026,161,0,0.5699075139913927
