episod,recompensa,pasi,succes
803,33.900000000000475,272,0
804,45.05000000000062,349,0
805,34.05000000000048,329,0
806,31.850000000000392,313,0
807,40.00000000000041,270,0
808,35.350000000000335,243,0
809,43.150000000000716,387,0
810,32.250000000000384,275,0
811,32.30000000000054,304,0
812,27.500000000000597,310,0
813,30.7000000000008,426,0
814,36.10000000000042,348,0
815,38.50000000000058,360,0
816,31.050000000000466,389,0
817,41.700000000000344,236,0
818,27.600000000000236,278,0
819,24.100000000000193,348,0
820,30.500000000000426,430,0
821,25.7500000000003,585,0
822,22.5000000000002,380,0
823,29.100000000000307,248,0
824,31.900000000000446,312,0
825,34.05000000000055,359,0
826,29.100000000000335,278,0
827,22.95000000000043,401,0
828,34.40000000000023,322,0
829,33.9500000000005,391,0
830,33.600000000000534,278,0
831,31.45000000000043,351,0
832,30.750000000000412,275,0
833,29.35000000000059,423,0
834,45.150000000000574,317,0
835,32.80000000000025,354,0
836,37.75000000000064,315,0
837,112.10000000000015,538,0
838,32.00000000000044,310,0
839,31.200000000000543,476,0
840,23.60000000000025,358,0
841,40.750000000000554,405,0
842,32.05000000000034,279,0
843,33.2500000000005,315,0
844,28.200000000000514,356,0
845,34.55000000000041,289,0
846,30.700000000000486,306,0
847,35.45000000000047,271,0
848,22.55000000000038,379,0
849,20.400000000000674,512,0
850,23.750000000000597,355,0
851,30.00000000000024,350,0
852,19.55000000000088,499,0
853,32.20000000000033,276,0
854,30.600000000000563,278,0
855,32.9500000000003,291,0
856,32.35000000000066,393,0
857,28.850000000000293,313,0
858,25.350000000000477,353,0
859,30.450000000000543,311,0
860,34.300000000000324,384,0
861,45.40000000000053,312,0
862,25.05000000000051,329,0
863,22.75000000000061,495,0
864,37.65000000000059,317,0
865,24.200000000000784,436,0
866,33.15000000000053,287,0
867,26.60000000000059,388,0
868,32.60000000000029,358,0
869,29.450000000000287,241,0
870,25.400000000000375,352,0
871,23.150000000000574,397,0
872,41.30000000000037,274,0
873,42.900000000000375,242,0
874,36.25000000000067,315,0
875,23.700000000000358,356,0
876,40.700000000000415,286,0
877,27.950000000000486,421,0
878,26.900000000000432,322,0
879,29.70000000000043,386,0
880,42.00000000000037,230,0
881,29.4500000000006,331,0
882,31.95000000000026,311,0
883,27.750000000000483,275,0
884,42.65000000000073,397,0
885,30.85000000000049,393,0
886,38.20000000000033,276,0
887,30.75000000000034,275,0
888,32.00000000000044,310,0
889,37.80000000000069,434,0
890,35.95000000000064,441,0
891,42.500000000000284,310,0
892,29.85000000000072,383,0
893,26.700000000000486,326,0
894,29.800000000000452,324,0
895,25.05000000000051,389,0
896,31.000000000000597,390,0
897,45.00000000000074,350,0
898,42.00000000000037,350,0
899,38.650000000000716,477,0
900,34.400000000000674,322,0
901,35.150000000000375,307,0
902,27.000000000000767,500,0
903,33.2500000000005,285,0
904,30.000000000000256,230,0
905,33.05000000000061,319,0
906,25.600000000000378,348,0
907,23.200000000000472,516,0
908,44.0000000000006,310,0
909,33.700000000000614,306,0
910,23.300000000000452,424,0
911,38.5000000000006,390,0
912,23.150000000000446,367,0
913,26.550000000000566,299,0
914,45.35000000000038,193,0
915,42.60000000000035,218,0
916,25.000000000000455,330,0
917,23.650000000000503,477,0
918,37.50000000000034,350,0
919,41.30000000000079,394,0
920,19.75000000000051,435,0
921,28.800000000000452,254,0
922,23.050000000000622,369,0
923,38.40000000000056,392,0
924,38.350000000000335,243,0
925,35.4500000000006,391,0
926,29.0000000000003,250,0
927,26.90000000000056,472,0
928,30.400000000000247,312,0
929,34.45000000000043,351,0
930,29.10000000000042,248,0
931,43.30000000000045,234,0
932,27.750000000000753,515,0
933,34.850000000000776,433,0
934,37.7500000000004,315,0
935,35.800000000000665,354,0
936,43.25000000000057,355,0
937,42.65000000000062,397,0
938,35.15000000000052,277,0
939,32.35000000000058,363,0
940,35.45000000000083,451,0
941,27.550000000000395,279,0
942,28.100000000000392,448,0
943,29.800000000000466,354,0
944,32.75000000000077,385,0
945,28.400000000000702,352,0
946,30.450000000000514,311,0
947,39.75000000000031,275,0
948,28.150000000000517,357,0
949,37.80000000000065,314,0
950,22.950000000000074,371,0
951,29.350000000000946,393,0
952,30.40000000000049,432,0
953,41.550000000000466,239,0
954,46.950000000000514,311,0
955,24.950000000000344,331,0
956,29.600000000000705,358,0
957,25.300000000000537,324,0
958,35.65000000000043,357,0
959,98.30000000000034,544,0
960,37.15000000000033,237,0
961,19.850000000000804,433,0
962,44.25000000000037,245,0
963,24.050000000000736,439,0
964,39.45000000000039,311,0
965,46.80000000000054,314,0
966,24.550000000000267,339,0
967,28.400000000000205,262,0
968,32.250000000000526,395,0
969,27.65000000000059,487,0
970,45.25000000000061,345,0
971,35.45000000000043,271,0
972,29.150000000000276,247,0
973,26.450000000000458,301,0
974,35.00000000000051,310,0
975,18.7000000000004,456,0
976,29.950000000000514,351,0
977,28.35000000000052,353,0
978,42.90000000000046,272,0
979,35.750000000000696,505,0
980,31.10000000000052,358,0
981,23.250000000000412,455,0
982,32.60000000000042,358,0
983,39.450000000000415,281,0
984,41.7000000000004,236,0
985,34.30000000000055,324,0
986,21.850000000000563,393,0
987,44.9000000000005,352,0
988,36.350000000000335,193,0
989,28.95000000000053,431,0
990,28.700000000000472,466,0
991,31.40000000000039,352,0
992,35.900000000000645,352,0
993,42.05000000000035,199,0
